Judul,Isi,Kategori
"Diduga Cabuli Bocah, Warga Cibeber Dilaporkan ke Polisi","SERANG– Seorang pria berisial A (48) dilaporkan ke polisi karena diduga melakukan pencabulan terhadap anak dibawah umur yang tidak lain tetangganya sendiri. Pelaku merupakan warga Kecamatan Cibeber, Kota Cilegon.Orangtua korban terpaksa melaporkan terduga pelaku ke polisi usai mendapat pengakuan dari anaknya yang menjadi korban pencabulan oleh A.A dilaporkan karena telah melakukan aksi tak senonoh terhadap korban yang masih berusia 13 tahun pada Sabtu 21 Oktober 2023 lalu.Ibunda korban yakni RM menceritakan, dalam melancarkan aksi cabulnya, A mengiming-imingi anak gadisnya dengan uang Rp50 ribu sebagai uang tambahan jajan.Meski korban sempat menolak, namun A memaksa korban dan melakukan aksi perbuatan cabulnya itu kepada korban hingga membuat korban berontak dan kabur dari rumahnya untuk menyelamatkan diri. Korban saat itu lari ke rumah saudaranya sambil menangis.“Saya sebagai seorang ibu, hancur hati saya. Saya tidak ridho dunia akhirat, akan saya tetap lanjutkan ke ranah hukum,” ucap RM, Kamis (17/11/2023).Padahal kata RM, ia tak pernah menganggap curiga kepada terlapor dan sudah menganggapnya sebagai bagian dari keluarga sendiri. Saat kejadian, kondisi di rumahnya sedang sepi hanya ada anak gadisnya saja.“Terlapor enggak jauh dari rumah, jadi tahu gerak gerik ada tidaknya saya dan suami di rumah. Pas kejadian itu keadaan rumah sedang sepi, dia datang nyamperin anak saya. Padahal udah kami anggap sebagai saudara,” terangnya.Kejadian itu telah dilaporkannya RM kepada polisi dengan Surat Laporan bernomor LP / B / 260 / X / 2023 / SPKT / Polres Cilegon / Polda Banten tanggal 22 Oktober 2023.Masih menurut pengakuan RM, UPTD PPA DP3AP2KB Kota Cilegon juga telah melakukan visum kepada korban.Selain itu, anaknya juga telah mendapatkan pendampingan dari Psikolog. Saat ini anaknya masih mengalami trauma akibat perbuatan tak senonoh yang diterimanya. (Man/Red)",Kriminal
DPD Nasdem Semarang Fokuskan Kemenangan Anies Baswedan di Pilpres 2024,"Semarang, 6/10 (BeritaJateng.net) – Dewan Perwakilan Daerah (DPD) Partai Nasional Demokrat (Nasdem) Kota Semarang mendukung penuh keputusan dari DPP Partai Nasdem yang mengusung nama Gubernur DKI Jakarta, Anies Baswedan dalam pertarungan calon presiden pada Pemilu 2024 mendatang.Ketua DPD Nasdem Kota Semarang, Suryanto mengatakan sikap yang diambil oleh Ketua Umum Nasdem menurutnya sudah dipertimbangkan untuk mengusung nama Anies Baswedan maju dalam Pilpres mendatang.“Bapak Ketua Umum lebih tahu dan bijaksana dengan segala pertimbangannya kedepan tentang pencapresan Pak Anies Baswedan,” kata Suryanto.Suryanto mengaku hingga saat ini masih menunggu perintah dari DPP maupun DPW untuk mengupayakan pemenangan Anies Baswedan dalam Pilpres mendatang. Pihaknya mengaku sudah siap 100 persen mulai dari tingkat ranting hingga DPD untuk melakukan upaya-upaya pemenangan.“Kami berupaya untuk melaksanakan yang diperintahkan oleh DPP untuk pencapresan Pak Anies,” tuturnya.Dalam waktu dekat, lanjutnya, DPW Nasdem Jawa Tengah akan melakukan rapat koordinasi terkait dengan strategi pemenangan yang akan dilakukan hingga ke tingkat DPRD.“Tentunya karena Nasdem strukturnya sudah sampai tingkat DPRD tentunya ini akan menjadi alat pemenangan juga,” ujarnya.Disinggung soal partai koalisi yang akan diusung, Suryanto mengaku semua keputusan ada di tingkat DPP Nasdem. “Kami tidak mau berandai-andai, semuanya yang memutuskan dari DPP,” lanjutnya.Terkait dengan sosok Anies Baswedan, ia mengaku sangat mengapresiasi dengan kepemimpinan Anies dalam mengelola dan memimpin Kota Jakarta. Ia berharap, hal positif tersebut bisa membawa perubahan yang lebih baik untuk Indonesia kedepannya.“Saya sangat mengapresiasi atas kepemimpinan Pak Anies yang mengelola Jakarta lebih baik dan tentunya harapannya bisa membawa Indonesia lebih baik,” pungkasnya. (Ak/El)",Politik
"Pemilu 2024 di Cilegon Harus Damai, Aman dan Sejuk","CILEGON– Pengurus Partai Politik (Parpol) di Kota Cilegon sepakat Pemilu 2024 harus berjalan damai, aman dan sejuk. Hal itu terungkap saat Deklarasi Pemilu Damai Tahun 2024 bersama Forkopimda, Parpol, dan Penyelenggara Pemilu 2024 yang digelar di Mapolres Cilegon, Rabu (27/9/2023).Kapolres Cilegon, AKBP Eko Tjahyo Untoro mengatakan bahwa Deklarasi Pemilu Damai tersebut merupakan sebagai upaya Forkopimda dalam pelaksanaan pesta demokrasi lima tahunan bisa berjalan damai, sejuk dan aman.“Itu saja yang kita inginkan dan juga semua harapkan, Forkopimda wakil walikota, kajari, Dandim dan tentunya masyarakat. Ini adalah salah satu langkah upaya kita dan Forkopimda melaksanakan dan mewujudkan hal tersebut,” ujar Kapolres.Sebagai upaya pengamanan menjelang Pemilu 2024, pihaknya bakal meningkatkan seluruh upaya pengamanan wilayah.“Namun untuk sementara ini masih kita susun berdasarkan instruksi pimpinan, Mabes dan Polda, apakah Pemilu ini ada tingkat kerawanan hijau, kuning, maupun merah,” terangnya.Kapolres berharap seluruh pihak yang hadir dalam deklarasi Pemilu Damai tersebut bisa menjaga komitmen agar Pemilu 2024 bisa berjalan lancar, aman, damai dan sejuk.“Untuk sementara potensi kerawanan Pemilu di Cilegon hijau dalam artian masih aman, dari delapan kecamatan di Cilegon hijau semua,” katanya.Sementara itu, Wakil Walikota Cilegon, Sanuji Pentamarta berharap Pemilu 2024 berjalan aman, damai dan sejuk. Ini juga guna menunjukkan bahwa kedewasaan politik di Kota Cilegon.“Sebagaimana sebelumnya, Pilkada dan Pileg di Cilegon berjalan baik dan lancar. Pemilu 2024 juga harus berjalan aman, damai dan sejuk,” imbuhnya.(Man/Red)",Politik
Jurkam PDIP Kota Serang Optimis Pasangan Ganjar Pranowo-Mahfud MD Diterima Masyarakat...,"SERANG– Calon anggotaa DPRD Kota Serang dari PDIP Fauzan Dardiri menilai dipilihnya Mahfud MD sebagai Calon Wakil Presiden (Cawapres) mendampingi Ganjar Pranowo sudah tepat. Bahkan dirinya optimisi pasangan Ganjar-Mahfud dapat diterima masyarakat Banten khususnya di Kota Serang.Caleg muda PDI Perjuangan Kota Serang untuk daerah pemilihan (dapil) Cipocok Jaya itu mengungkapkan, setidaknya ada beberapa alasan kenapa pasangan Ganjar-Mahfud MD dinilai pasangan yang paling tepat dalam mengikuti kontestasi Pilpres 2023 mendatang.Pertama, hadirnya Mahfud MD mendampingi Ganjar Pranowo dalam Pilpres 2024 menunjukkan, dalam menghadapi tantangan ke depan bagaimana pemimpin bisa saling mengisi untuk berkolaborasi.“Ganjar Pranowo memiliki rekam jejak di legislatif dan eksekutif yang baik. Begitu pun dengan Mahfud MD, pernah di eksekutif, legislatif dan yudikatif. Prestasinya cukup mentereng dan memuaskan publik,” ujar Fauzan, Rabu (18/10/2023).Apalagi, lanjut Fauzan, keduanya tak memiliki dosa di masa lalu. Dan, menariknya saat menjadi mahasiswa keduanya aktif berorganisasi Ganjar di GMNI dan Mahfud di HMI.“Bagi generasi muda, perpaduan Ganjar Pranowo dan Mahfud MD, sebagai Capres dan Cawapres merupakan pasangan tepat,” kata Juru Kampanye PDI Perjuangan Gen Z, Kota Serang.Mantan jurnalis itu juga menilai, generasi muda saat ini banyak menginginkan pemimpin tegas dalam menjalankan tugas, tapi santai menjalani kehidupan keseharian bersama keluarga.“Kami optimis, kehadiran pasangan Ganjar Pranowo dan Mahfud MD dapat diterima masyarakat Kota Serang pada khususnya dan wilayah Banten,” ucapnya.Terlebih, hasil beberapa lembaga survey menunjukkan trend positif pada elektabilitas dan penerimaan Ganjar Pranowo. Apalagi didampingi Mahfud MD.“Sebagai Caleg, tentu kami memiliki kewajiban untuk menyosialisasikan dan memenangkan Capres dan Cawapres, Ganjar Pranowo dan Mahfud MD,” tutup Ketua Umum HMI Cabang Serang Periode 2011-2012.Diketahui, Ketua Umum PDIP yang juga Presiden keempat RI, Megawati Soekarno Putri, hari ini secara resmi mengumumkan sosok pendamping Calon Presiden (Capres) Ganjar Pranowo. Dimana pilihan itu jatuh kepada Mahfud MD yang saat ini tengah menjabat sebagai Menteri Koordinator Bidang Politik, Hukum dan Keamanan (Menkopolhukam) Mafhud MD.(Mir/Red)",Politik
Viral!!! Pengasuh Ponpes di Demak Aniaya Santri Akhirnya Dinonaktifkan,"Demak, 6/9 (beritajateng.net) – Viral Video Pengasuh Cottage Terhadap Saltrasi yang terjadi di Sekolah Boarding Islam Tahfidz Darul Mustofa yang berada di wilayah Jogoloyo Kabupaten Demak, hingga saat ini dicapai dalam penyelidikan terhadap investigasi Penyelidikan polisi polisi demak.Menanggapi hal ini, kepemimpinan Ponpes Tahfidz bin Darul Mustofa, KH Muslih Abdulrohman menjelaskan bahwa awal dari masalah ini dimulai dengan salah satu pengasuh Santri bernama Muslih yang menegur santri pada pukul 23.00 WIB. Tidak segera tidur 11 santri di kamar malah mengobrol sampai ada insiden.“Pada dasarnya Muslimin terkenal dengan pengasuh terbaik, tetapi mungkin kera tidak bisa menahan emosi, maka ada santri,” kata pemimpin ponpes.Namun, ia mengklaim bahwa dia tidak menulis kekerasan fisik oleh pengasuh terhadap mahasiswa santri, sebagai akibat dari perilaku pengasuh ponces saat dinonaktifkan dari kegiatan di ponpes.“Kami telah menonaktifkan Muslim untuk sementara waktu,” kata KH Muslih Abdulrohman.Orang nomor satu di Ponpes Tahfidz’s Son Darul Mustofa mengaku meminta maaf kepada masyarakat dan sosok ulama di Distrik Demak karena virus video kekerasan yang harus menjadi santri dan pengasuhnya di media sosial.“Pada nama pribadi saya, saya minta maaf kepada kepemimpinan Sekolah Boarding Islam di semua Demaks karena mereka tidak terkena dampak langsung,” pungkasnya.Sementara itu, menurut salah satu penjaga Santri Ponpes Tahfidz, Darul Mustofa, Irma (36) mengatakan bahwa ia terkejut dan ketidaktahuan tentang kejadian itu, tetapi tidak mempertanyakan kejadian yang telah menimpa anak bungsinya yang memiliki perawatan kasarnya yang memiliki perawatan kasar dari pengasuhnya.“Saya terkejut sebelumnya, tetapi setelah mendapatkan pengakuan dari anak saya, saya akhirnya menarik kesimpulan untuk tidak mempertanyakan kejadian ini,” kata Irma. (Bw / el)",Kriminal
Kepala Kejati Banten Lantik 6 Pejabat Eselon II dan III,"SERANG– Sebanyak 6 pejabat Kejaksaan Tinggi (Kejati) Banten resmi dilantik. Pelantikan tersebut dilaksanakan di Aula Kejaksaan Tinggi Banten, Jumat (27/10/2023)Keenam Pejabat tersebut yaitu Wakil Kepala Kejati Banten Ahelya Abustam, Asisten Intelejen Kejati Banten Ajie Prasetya, Asisten Tindak Pidana Khusus Kejati Banten Fajar Syah Putra, Kepala Kejari Kabupaten Tangerang Ricky Tommy Hasiholan, dan 2 Koordinator Kejati Banten yang baru Ratih Andrawina dengan Aditya Rakatama.Kepala Kejati Banten, Didik Farkhan Alisyahdi mengatakan agar para pejabat yang baru dilantik dengan jabatan barunya dapat segera beradaptasi agar dapat bekerja dengan solid dan mampu mewujudkan proses penegakan hukum yang adil, profesional dan bermatabat.“Jauhi penyimpangan dan perbuatan tercela dalam pelaksanaan tugas, kepercayaan publik harus kita jaga bahkan kita tingkatkan dan bersikaplah profesional dalam setiap penanganan perkara,” kata Didik.Ia juga menambahkan agar kepercayaan publik tetap dapat dijaga dan memberikan pelayanan publik yang terbaik.“Dukungan publikasi kinerja itu perlu dilakukan dalam mensukseskan sebuah progam kegiatan, karena akan memberikan kontribusi citra positif Kejaksaan dimata masyarakat sehingga terbangun kepercayaan publik,” tambah Didik.(Dra/Red)",Kriminal
Ketua KPK Firli Bahuri Kembali Mangkir Pemeriksaan Dugaan Kasus Pemerasan,"JAKARTA– Ketua Komisi Pemberantasan Korupsi (KPK) kembali mangkir dari panggilan penyidik Polda Metro Jaya pada Selasa (13/11/2023) kemarin. Itu adalah kedua kalinya dia tak memenuhi panggilan terkait kasus dugaan pemerasan pimpinan KPK kepada eks Mentan Syahrul Yasin Limpo (SYL).Firli Bahuri dijadwal dipanggil Polda Metro Jaya pada Selasa pagi jelang siang pukul 10.00 WIB. Namun di jam yang sama, Firli muncul di depan awak media tengah memimpin konferensi pers terkait OTT Pj Bupati Sorong.Kepada awak media, Firli Bahuri mengungkapkan, terdapat dugaan korupsi pengadaan sapi di Kementerian Pertanian yang diadukan masyarakat ke KPK, namun tidak ditindaklanjut.Dugaan korupsi itu dilaporkan pada Januari 2021 yang menyeret nama Syahrul Yasin Limpo–saat menjabat Menteri Pertanian.“Berdasarkan nota dinas dari Pak Plt Deputi, Pak Asep, pada tanggal 26 September 2023 dijelaskan bahwa tidak ada perkara lain. Tetapi dari catatan persuratan, bahwa ada perkara dugaan penyelewengan pengadaan sapi yang diterima oleh pengaduan masyarakat itu sekitar Januari 2021,” beber Filri.Laporan itu diterima KPK, saat Kapolda Metro Jaya Karyoto masih menjabat sebagai direktur penindakan KPK. Namun, kata Firli, laporan itu itu tidak sampai ke pimpinan KPK.“Nah, sampai tanggal 16 Januari 2023, tidak ada perkara (dugaan korupsi pengadaan sapi) SYL yang masuk ke pimpinan. Walaupun ada di Dumas (pengaduan masyarakat), disampaikan ke Deputi Penindakan, waktu itu Pak Kapolda Metro Jaya yang sekarang (Karyoto), itu yang perlu kita tanya,” kata Firli.“Jadi, sampai hari ini, kita tidak pernah menerima surat perintah penyelidikan terkait dengan perkara sapi tadi,” sambungnya.Dia menjelaskan, pimpinan KPK akan mengetahui suatu perkara yang dilaporkan ke pengaduaan masyarakat, setelah adanya pengajuan surat perintah penyelidikan dari Deputi Penindakan.“Dan sampai hari ini belum ada telaah maupun surat perintah penyelidikan. Begitu juga, kapan pimpinan tahu? Pimpinan tahu apabila ada ekspose, hasil penyelidikan dilaporkan oleh pimpinan. Apakah naik penyidikan atau harus dihentikan. Kalau itu tidak ada, tidak tahu kita,” katanya lagi.Diketahui, Syahrul Yasil Limpo ditetapkan sebagai tersangka bersama Direktur Alat dan Mesin Pertanian Kementerian Pertanian (Kementan) Muhammad Hatta, dan Sekjen Kementan Kasdi Subagyono.Ketiganya diduga melakukan korupsi berupa pemerasan dalam jabatan bersama-sama menyalahgunakan kekuasaan dengan memaksa memberikan sesuatu untuk proses lelang jabatan, termasuk ikut serta dalam pengadaan barang dan jasa disertai penerimaan gratifikasi.SYL selaku menteri saat itu, memerintahkan Hatta dan Kasdi menarik setoran senilai USD 4.000-10.000 atau dirupiahkan Rp 62,8 juta sampai Rp 157,1 juta (Rp 15.710 per dolar AS pada 11 Oktober 2023) setiap bulan dari pejabat unit eselon I dan eselon II di Kementan.Uang itu berasal dari dari realisasi anggaran Kementan yang di-mark up atau digelembungkan, serta setoran dari vendor yang mendapatkan proyek. Kasus korupsi yang menjerat Syahrul terjadi dalam rentang waktu 2020-2023. Temuan sementara KPK ketiga diduga menikmati uang haram sekitar Rp 13,9 miliar. (Red)",Kriminal
Peserta Asal Kota Tangerang Raih Juara pada Kajati Banten Open Swimming...,"TANGERANG– Walikota Tangerang, Arief R Wismansyah, hadir bersama Kepala Daerah se-Tangerang Raya dalam ajang Kajati Banten Open Swimming Competition 2023 tingkat Provinsi Banten yang diselenggarakan oleh Persatuan Jaksa Indonesia (Persaja) Wilayah Banten, yang berlangsung di Swimming Pool Spring Club Summarecon Serpong, Kabupaten Tangerang, Sabtu (16/9/2023).Dalam acara tersebut, Kepala Kejaksaan Tinggi Provinsi Banten, Dr. Didik Farkhan Alisyahdi, mengatakan, kali ini kejaksaan tidak melulu melakukan tugasnya sebagai jaksa, akan tetapi kali ini kejaksaan juga turut serta melakukan kegiatan kemasyarakatan.“Alhamdulillah, saat kita menginisiasi lomba renang Kejati Banten Open Swimming Competition se-Banten, ternyata diikuti juga dari berbagai daerah seperti Lampung, Jawa Tengah bahkan Batam. Sebelumnya kami juga mengadakan lomba Pemilihan Da’i Cilik (Pildacil) dan akan dikirim untuk tingkat nasional,” tutur Didik.Dalam kesempatan yang sama, Pj. Gubernur Provinsi Banten, Al Muktabar, menyampaikan apresiasi kepada Persaja Wilayah Banten yang sudah menyelenggarakan kegiatan kemasyarakatan dalam ajang olahraga renang.“Terima kasih Pak Kajati dan Persaja atas inisiasinya. Semoga dengan adanya kegiatan ini, Banten terus bisa berkiprah dalam prestasi olahraga khususnya ditingkat Nasional,” ucapnya.Sementara itu, Walikota Tangerang, Arief R Wismansyah, mengucapkan selamat kepada ananda Aisyah Jannaty Maulana, peserta lomba renang putri asal Kota Tangerang dari SMPN 1 Kota Tangerang yang berhasil meraih Juara 1 (satu) Kategori 200 meter Gaya Ganti Perorangan Puteri dalam ajang Kajati Banten Open Swimming Competition 2023 tingkat Provinsi Banten.“Selamat kepada Aisyah atas juaranya, terus berprestasi mengharumkan nama keluarga, Kota Tangerang dan Banten. Terima kasih juga kepada Persaja Wilayah Banten yang sudah menggelar ajang olahraga renang sebagai upaya menjaring bibit atlet terbaik sejak dini di wilayah Provinsi Banten,” ujar Arief.(Ril/Red)",Olahraga
Liga Santri untuk Bangun Silaturahmi Kebangsaan dan Sambut HUT Kota Semarang,"Semarang, 15/3 (BeritaJateng.net) – Liga Santri Kota Semarang mulai digelar untuk silaturahmi membangun kebangsaan dan menyambut hari jadi Kota Semarang ke 475 di Stadion Citarum Semarang.Liga Santri tersebut di ikuti 14 tim dari pondok atau para santri di Kota Semarang, yang akan dilaksanakan setiap hari mulai tanggal 15 maret hingga 19 Maret 2022.Pembukaan Liga Santri dibuka oleh pertandingan pembuka yang diikuti oleh Forkompinda Kota Semarang, Camat se-Kota Semarang hingga Danramil Semarang.Pertandingan pembuka tersebut tampak seru dan sangat menghibur bagi para penonton yang menyaksikan di Stadion Citarum Semarang, dan dari kedua tim pembuka dimenangkan tim Forkompinda dengan skor 4-1.Walikota Semarang Hendrar Prihadi mengatakan Liga Santri ini digelar oleh Kodim 0733 Semarang untuk silaturahmi membangun kebangsaan di Kota Semarang.“Rekan-rekan yang mengelola pondok pesantren di Semarang serta para santri, dan tentunya Kodim 0733 Semarang yang menyelenggarakan Liga Santri dimulai hari ini. Tentunya bukan bersifat seremoni atau hanya main bola saja, namun yang terpenting adalah silaturahmi membangun kebangsaan. Nah hal inilah yang selalu dikembangkan oleh Pak Dandim 0733 Semarang, kemudian kami selalu memberikan apresiasi dan suport termasuk dalam sore hari ini ikut bermain bersama untuk memeriahkan Liga Santri ini,” Ucap Hedrar Prihadi.Lanjutnya, ada 14 tim santri di Kota Semarang yang mengikuti Liga Santri ini, semuanya sudah menjalani seleksi dan kita tutup pendaftaran, sebab jika tidak tentunya pastinya akan banyak perserta karena animo sangat bagus.Dandim 0733 Kota Semarang, Lektkol Inf Honi Havana menambahkan bahwa acara Liga Santri tersebut merupakan keinginan bersama-sama dari Kepala Staf AD dan Pangdam Diponegoro, serta dalam rangka menyambut hari jadi Kota Semarang ke 475 di tahun 2022 ini.” Liga Santri ini kami menjalankan perintah dari Kepala Staf AD dan Pangdam Diponegoro, serta kami kemas dengan rangka menyambut HUT Kota semarang yang ke 475 di tahun ini,” tuturnya.Lanjutnya, bahwa benar disampaikan oleh Walikota Semarang bahwa disamping mencari bibit pemain sepak bola di santri-santri di Kota Semarang, dan menjalin silaturahmi antara unsur-unsur masyarakat termasuk didalamnya para santri sehingga terjalin komunikasi yang baik untuk mendukung kemajuan Kota Semarang.“Liga Santri ini memperebutkan Piala Dandim Kota Semarang, nantinya kedepan pemenang akan melaju ke Liga Santri tingkat propinsi, dan nanti pertengahan bula Juli akan dilaksanakan Liga Santri Nasional yang diprakarsai oleh Kepala Staf AD,” katanya.Liga Santri akan digelar pertandingan setiap hari, dan pelaksanaan final akan dilaksanakan pada tanggal 19 maret 2022 di Stadion Diponegoro Semarang. (Ak/El)",Olahraga
BI Blokir Ruang Gerak Pengedar Uang Palsu di Banten Jelang Pemilu...,"SERANG– Bank Indonesia (BI) Provinsi Banten mengintensifkan upaya pencegahan peredaran uang palsu menjelang Pemilu 2024. Hal ini dilakukan untuk mengantisipasi potensi peningkatan peredaran uang palsu di tengah masyarakat.Kepala Perwakilan BI Provinsi Banten, Imaduddin Sahabat, mengatakan bahwa peredaran uang palsu di Banten masih relatif rendah. Namun, pihaknya tetap waspada terhadap potensi peningkatan peredaran uang palsu menjelang Pemilu 2024.Menurutnya berdasarkan dataBank Indonesia Counterfeit Analysist Center (BICAC), peredaran uang palsu di Banten masih relatif rendah. Total temuan uang palsu seluruh pecahan yang bersumber dari hasil klarifikasi masyarakat, Bank, Penyelenggara Jasa Pengolahan Uang Rupiah (PJPUR) dan pengolahan uang perbankan di BI sepanjang tahun 2023 mencapai 901 bilyet. Yang terdiri dari pecahan Rp100.000 (72.4%) dan Rp50.000 (26.3%) serta pecahan lainnya.“Peningkatan aktivitas ekonomi masyarakat dapat berpotensi menjadi celah yang dimanfaatkan oleh para oknum pembuat dan pengedar uang palsu untuk mengedarkan uang palsunya,” kata Imaduddin, Jumat (24/11/2023).Untuk mencegah peredaran uang palsu, BI Provinsi Banten menerapkan tiga pilar. Pertama pilar preventif yaitu uang rupiah yang berkualitas dan andal, melalui standarisasi dan peningkatan unsur pengaman uang Rupiah serta penguatan hasil analisis BICAC.Kedua pilar preemtif yaitu peningkatan pengetahuan dan pemahaman masyarakat terhadap literasi rupiah. Melalui strategi edukasi dan komunikasi mengenai uang rupiah serta pelaksanaan program edukasi Cinta Bangga Paham (CBP) Rupiah secara rutin kepada seluruh masyarakat dan stakeholder terkait di seluruh wilayah Provinsi Banten.Dan ketiga pilar represif yaitu penerapan sanksi tegas terhadap pelaku tindak pidana uang palsu, melalui kerja sama bersama seluruh unsur Badan Koordinasi Pemberantasan Uang Palsu (Botasupal) yang terdiri dari Badan Intelijen Negara, Kepolisian Negara RI, Kejaksaan Agung, Kementerian Keuangan, dan Bank Indonesia.Imaduddin mengimbau masyarakat untuk senantiasa meningkatkan kewaspadaan dalam bertransaksi serta memiliki pemahaman yang baik dalam mengenali spesifikasi, kualitas, dan ciri-ciri keaslian uang Rupiah melalui metode 3D yakni dilihat, diraba, dan diterawang.“Dengan demikian, menjadi penting bagi seluruh masyarakat untuk senantiasa meningkatkan kewaspadaan dalam bertransaksi serta memiliki pemahaman yang baik dalam mengenali spesifikasi, kualitas, dan ciri-ciri keaslian uang rupiah melalui metode 3D (dilihat, diraba, dan diterawang), sehingga dapat membantu menghindarkan kita semua dari kejahatan rupiah palsu,” ujarnya.(Dhe/Red)",Kriminal
Ranking FIFA Timnas Indonesia Bakal Melesat Jika Kalahkan Brunei Darussalam,"SERANG– Ranking FIFA Timnas Indonesia berpotensi melesat jika mampu mengalahkan Brunei Darussalam dalam dua leg putaran pertama Kualifikasi Piala Dunia 2026 zona Asia.Sebagaimana diketahui, Timnas Indonesia dipastikan akan menghadapi Brunei Darussalam di babak pertama Kualifikasi Piala Dunia 2026 zona Asia.Kepastian ini didapatkan setelah AFC selaku Konfederasi Sepak Bola Asia melakukan Drawing ajang tersebut pada Kamis (27/7) kemarin.Karena Timnas Indonesia berada di luar peringkat 26 besar, maka harus melewati babak pertama atau semacam Playoff melawan Brunei Darussalam.Pertandingan melawan Brunei ini, yakni pada tanggal 12 Oktober dan 17 Oktober 2023 akan menentukan langkah tim Merah Putih di Kualifikasi Piala Dunia 2026 zona Asia.Jika berhasil menang atas Brunei, maka Timnas Indonesia akan lolos ke babak kedua atau babak grup dan akan tergabung di grup F bersama Irak, Vietnam, dan Filipina.Di laga melawan Brunei ini, Timnas Indonesia tak hanya butuh kemenangan untuk melaju ke babak kedua, namun juga untuk meraih poin guna mengatrol posisinya di ranking FIFA.Sebagai informasi, ranking Timnas Indonesia sempat melorot usai meraih satu imbang dan satu kekalahan dari Palestina dan Argentina di FIFA Matchday Juni 2023.Jika menang atas Brunei, Timnas Indonesia berpotensi meraup poin yang cukup banyak yakni 8,9 poin seperti yang dilansir dari Footy Ranking.Torehan poin ini nyatanya hanya berbeda tipis dengan raihan poin yang didapat Timnas Indonesia jika berhasil mengalahkan Argentina pada FIFA Matchday Juni 2023 lalu, yakni 9,5 poin.Kok bisa perolehan poin jika menang atas Brunei Darussalam dan Argentina hanya berbeda tipis, padahal kedua tim punya peringkat yang bak langit dan bumi?Usut punya usut, perolehan poin yang hampir sama jika menang atas Brunei Darussalam dan Argentina itu tak lepas dari bobot agenda FIFA yang dijalani Timnas Indonesia.Di agenda sekelas Kualifikasi Piala Dunia, FIFA memberikan bobot poin lebih banyak yakni maksimal 25 poin bagi setiap negara.Sedangkan untuk agenda FIFA Matchday, induk sepak bola dunia itu hanya memberikan bobot poin maksimal sebesar 10 poin saja.Sebagai contoh, jika Timnas Indonesia menang atas Vietnam di Kualifikasi Piala Dunia 2026, maka tim Merah Putih bisa mendapat 15-20 poin karena ranking lawannya lebih tinggi.Maka tak mengherankan jika Timnas Indonesia menang atas Argentina pada FIFA Matchday Juni 2023 lalu, poin yang didapat tim Merah Putih hanya sebesar 9,5 poin saja kendati peringkat keduanya berbeda jauh.Sehingga, di laga kontra Brunei Darussalam nanti, Timnas Indonesia yang ada di peringkat ke-150 akan meraih 8,9 poin atas lawannya yang ada di peringkat 191 dunia tersebut.Alhasil, Timnas Indonesia pun bisa menjadikan ajang Kualifikasi Piala Dunia 2026 itu sebagai ajang untuk mendulang poin guna menaikkan ranking FIFA-nya yang sempat melorot.(Red/suara.com)",Olahraga
"Nikita Mirzani Tagih Janji JPU, Bakal Dipulangkan Jika Dito Mahendra 3...","BANTEN– Nikita Mirzani kembali menjalani sidang di Pengadilan Negeri Serang, Banten, Senin (19/12/2022).Agenda sidang hari ini adalah mendengarkan keterangan para saksi termasuk pelapor, Dito Mahendra.Namun hingga tiga kali pemanggilan, Dito Mahendra masih tidak menunjukkan batang hidungnya.Dito Mahendra absen dari persidangan karena pacar Nindy Ayunda tersebut dikabarkan sakit DBD.Saat ini Dito Mahendra menjalani perawatan di Rumah Sakit Pondok Indah, Jakarta Selatan. Itulah mengapa ia tidak bisa datang ke persidangan hari ini.Karena Dito Mahendra sudah tiga kali mangkir, Nikita Mirzani menagih janji Jaksa Penuntut Umum (JPU).Sebab ternyata, pihak kejaksaan itu mengatakan akan memulangkan bintang film Nenek Gayung tersebut andai Dito mangkir lagi ke persidangan.“Nanti tiga kali Dito Mahendra nggak datang, saya akan dipulangkan,” kata Nikita Mirzani di ruang sidang Pengadilan Negeri Serang, Senin (19/12/2022).“Sekarang saya mau menagih janjinya,” imbuh mantan pacar Samuel Rizal itu kepada JPU.Namun saat ditagih Nikita Mirzani, pihak JPU bergeming. Tidak ada sepatah kata apapun keluar dari mulutnya.Selain menagih janji JPU, Nikita Mirzani juga mengadu kepada hakim mengalami kesulitan saat berobat.Sebagai informasi, selama Nikita Mirzani berada di penjara, artis 36 tahun itu mengalami pengapuran di leher. Ia pun sempat menjalani terapi di rumah sakit kawasan Serang.“Saya nggak ngerti, ada apa ini? Kenapa saya dipersulit,” ujar Nikita Mirzani.Ibu tiga anak tersebut menambahkan, “Saya ini mau berobat, terapi. Masa tunggu saya lumpuh dulu.” (Red)",Olahraga
